Location_ID,Sensing_DateTime,Sensing_Date,Sensing_Time,Direction_1,Direction_2,Total_of_Directions
3,2026-06-02T19:32:00+05:30,2026-06-03,00:02,3,0,3
3,2026-06-02T19:34:00+05:30,2026-06-03,00:04,1,1,2
3,2026-06-02T19:35:00+05:30,2026-06-03,00:05,1,3,4
4,2026-06-02T19:25:00+05:30,2026-06-02,23:55,1,0,1
4,2026-06-02T19:31:00+05:30,2026-06-03,00:01,7,2,9
4,2026-06-02T19:33:00+05:30,2026-06-03,00:03,1,5,6
4,2026-06-02T19:36:00+05:30,2026-06-03,00:06,2,1,3
4,2026-06-02T19:37:00+05:30,2026-06-03,00:07,1,2,3
5,2026-06-02T19:30:00+05:30,2026-06-03,00:00,2,5,7
5,2026-06-02T19:35:00+05:30,2026-06-03,00:05,3,7,10
6,2026-06-02T19:29:00+05:30,2026-06-02,23:59,6,1,7
6,2026-06-02T19:35:00+05:30,2026-06-03,00:05,2,0,2
6,2026-06-02T19:36:00+05:30,2026-06-03,00:06,4,0,4
6,2026-06-02T19:39:00+05:30,2026-06-03,00:09,2,0,2
21,2026-06-02T19:25:00+05:30,2026-06-02,23:55,0,4,4
21,2026-06-02T19:30:00+05:30,2026-06-03,00:00,0,1,1
21,2026-06-02T19:35:00+05:30,2026-06-03,00:05,3,2,5
29,2026-06-02T19:30:00+05:30,2026-06-03,00:00,0,2,2
31,2026-06-02T19:28:00+05:30,2026-06-02,23:58,0,1,1
36,2026-06-02T19:25:00+05:30,2026-06-02,23:55,2,1,3
36,2026-06-02T19:36:00+05:30,2026-06-03,00:06,0,1,1
36,2026-06-02T19:38:00+05:30,2026-06-03,00:08,2,0,2
37,2026-06-02T19:35:00+05:30,2026-06-03,00:05,0,1,1
41,2026-06-02T19:26:00+05:30,2026-06-02,23:56,2,3,5
41,2026-06-02T19:28:00+05:30,2026-06-02,23:58,3,6,9
41,2026-06-02T19:29:00+05:30,2026-06-02,23:59,3,2,5
41,2026-06-02T19:31:00+05:30,2026-06-03,00:01,4,2,6
41,2026-06-02T19:34:00+05:30,2026-06-03,00:04,1,0,1
41,2026-06-02T19:35:00+05:30,2026-06-03,00:05,0,1,1
41,2026-06-02T19:36:00+05:30,2026-06-03,00:06,0,1,1
43,2026-06-02T19:35:00+05:30,2026-06-03,00:05,0,1,1
47,2026-06-02T19:25:00+05:30,2026-06-02,23:55,3,8,11
54,2026-06-02T19:25:00+05:30,2026-06-02,23:55,1,1,2
